Name	Description	pvalue	qvalue	phenotype	genes
GO:0002221	pattern recognition receptor signaling pathway	6.68e-05	6.68e-05	1	BTK,CD180,PTPN22,HAVCR2,ITGB2,CD14,CD300LF
GO:0002224	toll-like receptor signaling pathway	1.38e-05	1.38e-05	1	BTK,CD180,PTPN22,HAVCR2,ITGB2,CD14,CD300LF
GO:0030168	platelet activation	0.0018	0.0018	1	LCP2,PIK3CG,PLEK,PIK3R5,FCER1G
GO:0050852	T cell receptor signaling pathway	0.000808	0.000808	1	CD4,WAS,LCP2,PTPRC,PTPN22
GO:0097529	myeloid leukocyte migration	0.00051	0.00051	1	PIK3CG,NCKAP1L,FCER1G,ITGB2,C3AR1,AIF1
GO:0097530	granulocyte migration	0.000808	0.000808	1	PIK3CG,NCKAP1L,FCER1G,ITGB2,C3AR1
GO:1990266	neutrophil migration	0.000435	0.000435	1	PIK3CG,NCKAP1L,FCER1G,ITGB2,C3AR1
GO:0071621	granulocyte chemotaxis	0.000496	0.000496	1	PIK3CG,NCKAP1L,FCER1G,ITGB2,C3AR1
GO:0030593	neutrophil chemotaxis	0.000285	0.000285	1	PIK3CG,NCKAP1L,FCER1G,ITGB2,C3AR1
GO:0071706	tumor necrosis factor superfamily cytokine production	1.02e-05	1.02e-05	1	CD86,SASH3,PTPN22,HAVCR2,FCER1G,CYBB,CD14
GO:0032640	tumor necrosis factor production	7.52e-05	7.52e-05	1	SASH3,PTPN22,HAVCR2,FCER1G,CYBB,CD14
GO:0002700	regulation of production of molecular mediator of immune response	0.000822	0.000822	1	BTK,PTPRC,SASH3,PTPN22,FCER1G
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	8.87e-06	8.87e-06	1	CD86,SASH3,PTPN22,HAVCR2,FCER1G,CYBB,CD14
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	8.21e-06	8.21e-06	1	CD86,SASH3,HAVCR2,FCER1G,CYBB,CD14
GO:0032680	regulation of tumor necrosis factor production	6.68e-05	6.68e-05	1	SASH3,PTPN22,HAVCR2,FCER1G,CYBB,CD14
GO:0032760	positive regulation of tumor necrosis factor production	7.57e-05	7.57e-05	1	SASH3,HAVCR2,FCER1G,CYBB,CD14
GO:0002703	regulation of leukocyte mediated immunity	7.7e-06	7.7e-06	1	BTK,WAS,CD84,PTPRC,SASH3,HAVCR2,FCER1G,ITGB2
GO:0002706	regulation of lymphocyte mediated immunity	0.00011	0.00011	1	BTK,WAS,PTPRC,SASH3,HAVCR2,FCER1G
