EntrezID	GeneLength	Count
497097	3634	1
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	1
27395	4203	431
18777	2433	768
100503730	799	4
21399	2847	810
58175	2241	452
108664	1976	1716
18387	4707	0
226304	3692	0
12421	7046	3451
620393	858	0
240690	6161	0
319263	5232	2026
71096	4193	0
59014	2048	956
76187	3139	54
72481	1246	16
76982	3187	21
17864	3564	194
70675	5179	2390
73331	1494	3
170755	5622	87
620986	451	71
240697	2553	0
73824	407	289
266793	74	4
100038398	2646	16
100039596	501	3
69312	1502	1
26754	1240	1804
211660	4354	745
211673	7042	6696
329093	1930	2
109294	11187	41
320492	8293	0
329096	3200	0
240725	4864	106
240726	8512	12
383491	2593	12
17978	8213	4445
72265	2888	5442
212442	1889	334
381246	1926	1
433273	1245	0
14048	4345	1
17681	1717	26
277328	4263	0
98741	5309	0
21749	1633	266
226866	2748	8
665434	572	2
75799	717	0
19989	934	17590
98711	2295	1514
29819	2890	770
66799	2354	525
67923	955	876
329101	2788	0
70397	1732	376
17087	603	121
57339	4809	201
14545	3938	6
94227	6923	34
83691	4006	51
78081	1192	0
654454	222	1
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	2049
241035	12928	2
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	543
77741	1120	1
74229	4420	42
71877	2208	41
170829	1409	228
75712	1112	40
14859	1450	11
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	3
116837	4066	1
66755	1781	2
387225	71	0
723964	84	1
70155	4844	5413
100503399	1522	10
280645	4362	131
98366	2259	604
68002	667	64
68187	6467	898
12839	3888	4396
12823	10542	11
68421	5392	2921
210933	5522	2
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	85
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	5244
19243	4129	2634
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	1
624262	762	7
170771	1359	0
408192	1437	1
408191	3748	0
19076	1937	425
67503	889	11
19335	4487	195
213539	1815	452
98403	3650	965
433287	3016	210
320705	2292	5
13518	23242	12154
100628580	79	0
69668	1705	269
27993	2249	1205
52318	3559	536
19253	1578	2609
21755	1246	19
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	143
214469	5080	7146
226971	5469	1401
50785	3719	6546
320011	9029	3904
214854	2583	18
214855	5699	4169
226976	4663	3566
214895	2225	940
94220	4582	1503
94218	5283	720
78321	1954	153
109346	1786	162
20353	3805	5911
381337	2577	51
12859	569	248
226977	2077	2775
71166	1127	4
22637	2180	2
56030	6548	3505
70853	4422	2
12790	3498	1
269180	6817	845
76178	3862	2761
67387	1412	602
269181	7054	5350
77633	2755	177
100861893	736	0
72097	4361	2008
100503734	2218	3
211484	3400	91
623661	1555	69
69028	1229	135
107734	691	520
332427	2564	0
69541	798	1
98258	4596	1803
226982	7797	6527
56210	4262	688
16764	6010	18
381338	5077	0
98388	3120	44
100503760	2386	0
433292	1001	0
68833	1706	1416
18143	4180	658
114641	1254	351
