EntrezID	GeneLength	Count
497097	3634	535
100503874	3259	5
100038431	1634	1
19888	9747	0
20671	3130	98
27395	4203	818
18777	2433	1830
100503730	799	3
21399	2847	1932
58175	2241	12
108664	1976	1731
18387	4707	0
226304	3692	0
12421	7046	3647
620393	858	0
240690	6161	0
319263	5232	3593
71096	4193	4
59014	2048	5336
76187	3139	59
72481	1246	14
76982	3187	29
17864	3564	901
70675	5179	4173
73331	1494	2
170755	5622	666
620986	451	206
240697	2553	7
73824	407	662
266793	74	43
100038398	2646	55
100039596	501	8
69312	1502	0
26754	1240	3020
211660	4354	1695
211673	7042	11439
329093	1930	616
109294	11187	695
320492	8293	40
329096	3200	0
240725	4864	2997
240726	8512	47
383491	2593	14
17978	8213	7380
72265	2888	6145
212442	1889	277
381246	1926	0
433273	1245	3
14048	4345	948
17681	1717	8
277328	4263	0
98741	5309	4
21749	1633	540
226866	2748	3958
665434	572	3
75799	717	10
19989	934	25488
98711	2295	2650
29819	2890	1343
66799	2354	1771
67923	955	4085
329101	2788	2
70397	1732	1097
17087	603	85
57339	4809	334
14545	3938	7
94227	6923	2014
83691	4006	3463
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	3424
241035	12928	1
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	1
17215	2886	2878
77741	1120	0
74229	4420	412
71877	2208	236
170829	1409	332
75712	1112	151
14859	1450	8
241041	1148	0
368204	1950	2
433278	844	1
98582	2247	9
226922	6980	2680
116837	4066	17
66755	1781	0
387225	71	0
723964	84	1
70155	4844	770
100503399	1522	0
280645	4362	276
98366	2259	2226
68002	667	186
68187	6467	3089
12839	3888	3449
12823	10542	8
68421	5392	3013
210933	5522	0
100504323	1551	0
210940	4331	1
433281	2004	0
665903	467	299
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	7246
19243	4129	4491
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	1
624262	762	14
170771	1359	30
408192	1437	2
408191	3748	5
19076	1937	1158
67503	889	13
19335	4487	744
213539	1815	2439
98403	3650	2052
433287	3016	579
320705	2292	15
13518	23242	127384
100628580	79	0
69668	1705	469
27993	2249	2052
52318	3559	932
19253	1578	96
21755	1246	0
12627	1038	0
21756	1301	3
211383	4356	0
241051	2676	1
226970	2714	1075
214469	5080	14957
226971	5469	2228
50785	3719	11066
320011	9029	8959
214854	2583	163
214855	5699	20614
226976	4663	6168
214895	2225	916
94220	4582	2684
94218	5283	487
78321	1954	319
109346	1786	261
20353	3805	10124
381337	2577	69
12859	569	573
226977	2077	6961
71166	1127	25
22637	2180	47
56030	6548	8408
70853	4422	12
12790	3498	66
269180	6817	2777
76178	3862	2252
67387	1412	1063
269181	7054	2530
77633	2755	423
100861893	736	0
72097	4361	52
100503734	2218	0
211484	3400	79
623661	1555	90
69028	1229	491
107734	691	1217
332427	2564	1
69541	798	2
98258	4596	2473
226982	7797	12183
56210	4262	1689
16764	6010	718
381338	5077	2
98388	3120	39
100503760	2386	1
433292	1001	0
68833	1706	3789
18143	4180	41
114641	1254	533
54610	4440	981
52846	3170	2421
100217461	94	95
67702	2434	11746
263764	5799	145
619289	2000	7
100042065	359	1
73426	531	0
26921	5974	16675
100047133	858	2
16178	1343	49
16177	5035	854
107527	1950	724
17082	6967	236
16182	4781	204
16174	2487	23
110895	3822	20
226999	3493	38
211798	3152	71
381339	1096	22
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	1142
93690	3860	1
73122	5538	1373
98404	3457	691
14200	1563	7806
666642	647	946
17974	2775	4039
100861934	1421	7
78896	888	7439
67883	1263	374
100503192	585	1321
22019	4649	9938
433294	1086	5
75623	1265	799
72050	2324	2899
246229	3571	288
22592	4010	1925
100861960	766	0
403183	3181	0
70676	2976	2325
75066	906	13
12825	5564	17412
12832	6615	14692
73674	2612	4184
433297	641	4256
53945	3380	154
100042453	717	0
212225	3483	0
227058	12318	638
100101919	12384	53
227059	4961	9091
442837	542	0
56363	3339	239
442821	2552	4
20324	3055	7997
109019	2838	3996
100045066	3051	1
17912	5042	4415
20849	2981	25
100042634	432	33
20846	5356	2013
14660	7488	18861
17936	5088	5436
227094	3394	246
98682	5591	2577
16329	1776	704
227095	1704	991
67080	834	466
17700	2682	0
69397	627	1
227099	3032	231
227102	1846	168
72085	2283	331
70396	2362	898
627872	12272	32
98267	3278	1564
329152	11336	236
78016	3807	15
98488	3005	670
241062	10579	1056
329154	6140	3291
81898	6192	47974
67876	1733	11013
15510	2332	9684
15528	768	2274
19070	2826	3352
74013	3677	461
212679	2882	869
75388	1258	2
227120	6555	3678
626009	1369	299
329159	1906	1
71066	1408	0
212712	5286	26
329160	3728	5
407809	3304	0
75323	2052	35
73467	3008	244
68736	1442	476
68115	1325	829
67198	4045	2435
51960	2733	413
68549	5416	282
11761	4382	931
71724	4360	27
71872	4973	12
213043	4776	4
66882	2833	19906
12747	3088	13029
70225	1630	520
65102	2105	592
18393	3371	1706
100504455	2126	11
213056	8695	753
66495	532	796
100504501	936	90
108812	1579	4
12633	7814	6895
12370	2777	1440
70827	6240	9953
227154	2318	398
73463	2131	2
381259	1972	981
227157	3087	51
74018	7038	4278
271697	1477	44
14369	4809	7968
381260	3595	24
22218	1215	2098
55989	1976	32831
100217459	53	23
100217421	63	4
12168	3507	8001
100504533	314	516
72750	5532	3160
70375	3650	86
57750	3376	777
241066	2604	249
100504573	431	67
269198	12108	4958
77951	1501	593
329165	5974	2915
77300	9117	4654
100043027	207	7
100042533	791	8
12487	4317	7
100504618	845	0
12477	1931	6
54167	3254	6
77341	892	0
72823	8392	1266
18187	8122	1990
74992	895	23
227195	13529	6978
100380944	1802	106
100504668	1301	23
227197	2927	3953
55949	1933	33973
100217464	113	75
241070	1606	22
73884	12621	943
23792	6879	185
241073	2427	0
76668	1711	5
75619	3205	1264
74426	1756	11
433315	1432	4
93691	1344	694
12912	8421	3572
67099	2666	331
69941	713	60
227210	2927	2132
14367	6914	2989
241075	8562	1608
70861	1353	0
667276	1020	57
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	1
98303	2180	26
15926	2438	2236
18711	11255	2758
213527	2414	1
12969	622	0
17756	5520	11263
100038569	1663	3
329178	13533	286
66646	2630	1359
68691	4760	6315
11363	1892	8048
100862127	515	24
17901	1111	1
14768	4461	2942
227231	4704	0
13869	4257	33
100502712	2069	0
22779	9424	1423
66722	2270	2
320460	4655	0
12021	5448	513
74591	8323	195
108147	2611	3541
14268	8312	9806
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	7
381269	2493	1388
111175	1186	484
271711	2815	23
22596	2556	3192
381270	4187	29
54380	6715	1610
319695	4573	2
19981	588	588
16008	1330	18997
16011	5854	348103
21958	427	0
69449	571	1
723792	1560	249
78718	551	18
109198	1801	28
21961	9966	11320
435626	2336	713
100862357	817	0
12765	3043	7
227288	1125	0
100316687	67	0
76709	1597	11242
227289	990	8
227290	1820	9237
56695	3501	1028
69660	2309	9552
241112	2101	15
18173	2304	52
227292	2776	2665
387219	85	3
22349	3117	61
319651	7196	6515
58184	3266	1863
18802	3121	171
77264	7472	4558
66821	1829	493
57751	1475	2007
269209	5235	408
67534	4253	3058
104086	1890	371
241113	2832	70
22420	2068	1810
22409	1962	5981
12570	2704	14
260298	1479	0
12958	702	0
723900	64	0
241116	5718	1
16147	2444	12
75570	860	164
22626	2059	111
69171	2738	1090
227298	2557	1723
68818	1299	466
74104	2934	537
245860	3764	2061
52231	2764	453
74577	3451	660
20872	2885	1946
22145	2053	14672
381272	767	7
56812	3203	3572
19275	3535	128
19711	710	0
13437	1946	1422
13346	2150	231
100503248	676	7
11790	11933	2789
69080	1528	1476
100862164	449	0
241118	2650	69
74241	3235	5906
319998	2185	761
98733	5770	3757
16322	1463	185
71728	4458	972
20536	4441	1877
100862333	771	0
620079	2188	0
13838	6328	5079
18505	3868	0
100039210	1208	0
433323	3998	16
23874	2132	2368
68393	1206	10
74205	3950	8023
195434	3981	2458
57814	2463	194
20254	2485	0
100862182	832	5
252903	2876	385
69368	4714	1847
100038695	1791	0
69163	1424	645
100862198	480	0
20720	2055	755
241128	2862	1
26554	2764	12522
72208	394	0
210293	7303	650
241134	4919	0
16367	9163	1107
100503073	3039	8
76867	3757	2328
100503095	2833	9
12829	7808	151
12828	8609	226
75734	1866	2567
66261	1503	3
100044526	654	57
15463	3137	6762
80721	2974	65
71386	992	0
20297	802	4
71227	1670	2
77629	6512	0
98496	2667	77
227325	3632	3
100628595	77	0
14897	9632	20999
66153	900	41
71781	2349	6
100503433	891	1
381287	1760	0
621875	1334	25
100040135	1348	0
665378	1621	0
620078	1971	8
100040213	891	0
100039794	1073	3
665338	891	0
109032	1971	186
434484	2417	487
100503502	852	1
100503045	659	0
20684	2158	258
319997	1936	22
12283	3800	9646
64294	2024	17437
71141	1148	11
227326	2550	16
70060	1602	13
72792	3331	201
70247	3256	9954
15559	2072	60
78795	5258	861
100861644	653	2
227327	2595	154
383538	483	0
17975	8257	84667
100303740	116	95
80828	68	3
319336	1266	35
14767	1218	0
71863	1721	0
19231	1192	15560
18582	1092	407
26895	2231	496
18159	1042	101
208718	3171	995
11650	2113	0
76768	2337	4
11648	1680	3
13599	2698	137
69453	1999	12
11447	2910	0
11449	1921	0
26987	4928	4458
98363	1805	338
227331	5743	2770
100040591	1349	69
73234	462	10
53972	3384	84
319977	1676	1
620454	1602	64
23956	2018	11
16331	4938	51
77040	3180	2482
100217415	248	14
20215	1718	27
100503175	947	2
227333	5694	4310
227334	5316	1209
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	1039
94284	3302	2193
394433	3208	2
22236	3206	0
15504	1017	31
394436	3229	5
100040766	7526	66
381280	8439	540
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	74
100503197	2622	40
320982	3967	16785
78650	476	0
73475	603	0
98402	3673	2886
77331	591	0
347722	9581	2569
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	1
12778	2579	5743
108679	1843	4234
433332	1207	0
12835	10841	5626
171531	4484	239
623503	261	1
19329	1950	73
16978	5743	7500
329207	3851	9
51801	3022	1334
67921	1363	2146
665783	892	938
50880	2207	524
227357	5442	56
100503326	684	0
70788	3020	6
227358	2815	78
67444	1368	1901
67086	547	2
55927	1335	286
18627	5837	8246
74019	3500	392
65247	6072	642
13345	1312	32
208727	3960	3309
67273	1220	3559
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	1307
260301	704	1
14733	3552	8814
100504295	543	0
387167	66	1
241158	3243	26
67446	1491	369
108657	3039	2293
100037260	1689	9
23830	2877	343
64095	4396	164
208760	1088	1
16560	8257	3984
11611	1517	14
71874	2362	2259
381284	7348	20
208777	4474	1602
69821	3315	1447
269224	5119	771
66385	3653	1704
404545	3217	9
110611	6238	64598
18000	3335	18212
227377	3912	781
59041	3254	5441
51800	1432	1427
67026	2160	1377
66615	2964	2730
21915	1310	1611
66262	4539	3463
98314	3058	133
381334	2846	1
100041596	1185	3
666009	570	14
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	440
20452	5677	52
75381	761	0
100504401	921	37
73454	356	0
75159	583	0
227394	2394	2
329217	3849	2
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	952
227399	5565	3636
252876	2041	171
18484	4103	6773
78603	1178	16
69030	1687	0
70866	2328	0
100504494	800	396
241175	5120	0
100504525	886	0
23836	3722	4
320311	8529	226
100504568	1284	0
27392	6777	4548
227446	5406	2759
100042023	231	505
21934	5022	1481
635504	465	14
