EntrezID	GeneLength	Count
497097	3634	2
100503874	3259	0
100038431	1634	0
19888	9747	1
20671	3130	18
27395	4203	468
18777	2433	1246
100503730	799	9
21399	2847	756
58175	2241	203
108664	1976	1715
18387	4707	0
226304	3692	0
12421	7046	1866
620393	858	0
240690	6161	0
319263	5232	1609
71096	4193	0
59014	2048	649
76187	3139	44
72481	1246	18
76982	3187	8
17864	3564	100
70675	5179	1585
73331	1494	3
170755	5622	267
620986	451	112
240697	2553	0
73824	407	335
266793	74	9
100038398	2646	12
100039596	501	2
69312	1502	0
26754	1240	1731
211660	4354	759
211673	7042	4956
329093	1930	0
109294	11187	106
320492	8293	0
329096	3200	0
240725	4864	48
240726	8512	6
383491	2593	1
17978	8213	3986
72265	2888	2981
212442	1889	719
381246	1926	0
433273	1245	0
14048	4345	9
17681	1717	112
277328	4263	0
98741	5309	0
21749	1633	364
226866	2748	15
665434	572	0
75799	717	0
19989	934	7619
98711	2295	718
29819	2890	422
66799	2354	449
67923	955	1289
329101	2788	0
70397	1732	416
17087	603	74
57339	4809	23
14545	3938	1
94227	6923	79
83691	4006	17
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	2921
241035	12928	8
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	350
77741	1120	2
74229	4420	93
71877	2208	53
170829	1409	70
75712	1112	47
14859	1450	8
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	7
116837	4066	0
66755	1781	0
387225	71	0
723964	84	1
70155	4844	610
100503399	1522	0
280645	4362	103
98366	2259	641
68002	667	177
68187	6467	891
12839	3888	405
12823	10542	2
68421	5392	1762
210933	5522	0
100504323	1551	0
210940	4331	1
433281	2004	0
665903	467	67
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	4079
19243	4129	1375
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	3
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	275
67503	889	4
19335	4487	215
213539	1815	421
98403	3650	487
433287	3016	203
320705	2292	4
13518	23242	23313
100628580	79	0
69668	1705	184
27993	2249	738
52318	3559	373
19253	1578	794
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	71
214469	5080	4825
226971	5469	2852
50785	3719	1542
320011	9029	4094
214854	2583	35
214855	5699	5588
226976	4663	2257
214895	2225	1101
94220	4582	561
94218	5283	538
78321	1954	251
109346	1786	273
20353	3805	9508
381337	2577	78
12859	569	326
226977	2077	2203
71166	1127	3
22637	2180	0
56030	6548	2648
70853	4422	7
12790	3498	1
269180	6817	407
76178	3862	2346
67387	1412	649
269181	7054	581
77633	2755	89
100861893	736	0
72097	4361	693
100503734	2218	0
211484	3400	75
623661	1555	58
69028	1229	252
107734	691	573
332427	2564	0
69541	798	0
98258	4596	1189
226982	7797	3564
56210	4262	502
16764	6010	15
381338	5077	1
98388	3120	10
100503760	2386	0
433292	1001	0
68833	1706	1539
18143	4180	184
114641	1254	168
54610	4440	1460
52846	3170	400
100217461	94	8
67702	2434	1320
263764	5799	0
619289	2000	0
100042065	359	1
73426	531	0
26921	5974	3914
100047133	858	1
16178	1343	25
16177	5035	1263
107527	1950	180
