EntrezID	GeneLength	Count
497097	3634	342
100503874	3259	5
100038431	1634	0
19888	9747	0
20671	3130	76
27395	4203	1368
18777	2433	2517
100503730	799	6
21399	2847	2472
58175	2241	17
108664	1976	2097
18387	4707	0
226304	3692	0
12421	7046	3399
620393	858	2
240690	6161	0
319263	5232	3920
71096	4193	1
59014	2048	5497
76187	3139	46
72481	1246	12
76982	3187	21
17864	3564	1007
70675	5179	3500
73331	1494	4
170755	5622	734
620986	451	383
240697	2553	9
73824	407	824
266793	74	54
100038398	2646	67
100039596	501	9
69312	1502	2
26754	1240	4073
211660	4354	1373
211673	7042	11369
329093	1930	802
109294	11187	333
320492	8293	45
329096	3200	0
240725	4864	2214
240726	8512	22
383491	2593	13
17978	8213	6923
72265	2888	6222
212442	1889	379
381246	1926	0
433273	1245	19
14048	4345	1139
17681	1717	7
277328	4263	0
98741	5309	1
21749	1633	822
226866	2748	4535
665434	572	9
75799	717	6
19989	934	35401
98711	2295	3883
29819	2890	1586
66799	2354	1749
67923	955	4133
329101	2788	3
70397	1732	1334
17087	603	67
57339	4809	407
14545	3938	9
94227	6923	2260
83691	4006	3951
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	4580
241035	12928	1
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	1
17215	2886	5818
77741	1120	0
74229	4420	337
71877	2208	206
170829	1409	343
75712	1112	168
14859	1450	9
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	3
226922	6980	2434
116837	4066	28
66755	1781	0
387225	71	0
723964	84	2
70155	4844	1081
100503399	1522	0
280645	4362	181
98366	2259	2184
68002	667	322
68187	6467	2803
12839	3888	4140
12823	10542	5
68421	5392	2736
210933	5522	0
100504323	1551	0
210940	4331	1
433281	2004	0
665903	467	580
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	7186
19243	4129	4415
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	20
170771	1359	63
408192	1437	0
408191	3748	0
19076	1937	1871
67503	889	27
19335	4487	873
213539	1815	2229
98403	3650	1479
433287	3016	658
320705	2292	7
13518	23242	75673
100628580	79	3
69668	1705	486
27993	2249	2630
52318	3559	855
19253	1578	100
21755	1246	0
12627	1038	0
21756	1301	1
211383	4356	0
241051	2676	0
226970	2714	1050
214469	5080	17154
226971	5469	1849
50785	3719	11884
320011	9029	10767
214854	2583	96
214855	5699	22584
226976	4663	5341
214895	2225	1088
94220	4582	3871
94218	5283	691
78321	1954	266
109346	1786	322
20353	3805	11940
381337	2577	115
12859	569	763
226977	2077	7464
71166	1127	17
22637	2180	23
56030	6548	9045
70853	4422	12
12790	3498	38
269180	6817	2493
76178	3862	2935
67387	1412	1165
269181	7054	2438
77633	2755	509
100861893	736	0
72097	4361	66
100503734	2218	0
211484	3400	80
623661	1555	91
69028	1229	522
107734	691	1573
332427	2564	0
69541	798	3
98258	4596	2395
226982	7797	10599
56210	4262	1426
16764	6010	669
381338	5077	4
98388	3120	79
100503760	2386	1
433292	1001	0
68833	1706	4162
18143	4180	35
114641	1254	810
54610	4440	1056
52846	3170	2420
100217461	94	91
67702	2434	11473
263764	5799	113
619289	2000	3
100042065	359	2
73426	531	0
26921	5974	20216
100047133	858	2
16178	1343	21
16177	5035	538
107527	1950	853
17082	6967	99
16182	4781	107
16174	2487	12
110895	3822	7
226999	3493	51
211798	3152	110
381339	1096	39
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	1695
93690	3860	3
73122	5538	1480
98404	3457	914
14200	1563	5131
666642	647	1238
17974	2775	4989
100861934	1421	6
78896	888	8603
67883	1263	658
100503192	585	2018
22019	4649	7981
433294	1086	4
75623	1265	1168
72050	2324	3440
246229	3571	489
22592	4010	1912
100861960	766	0
403183	3181	0
70676	2976	2283
75066	906	1
12825	5564	10360
12832	6615	15313
73674	2612	3325
433297	641	4455
53945	3380	118
100042453	717	1
212225	3483	0
227058	12318	430
100101919	12384	46
227059	4961	9105
442837	542	0
56363	3339	274
442821	2552	4
20324	3055	10920
109019	2838	4769
100045066	3051	1
17912	5042	4660
20849	2981	16
100042634	432	27
20846	5356	1905
14660	7488	19466
17936	5088	6029
227094	3394	360
98682	5591	2669
16329	1776	961
227095	1704	1436
67080	834	519
17700	2682	1
69397	627	0
227099	3032	358
227102	1846	387
72085	2283	434
70396	2362	1656
627872	12272	25
98267	3278	1877
329152	11336	163
78016	3807	16
98488	3005	928
241062	10579	1091
329154	6140	2472
81898	6192	44667
67876	1733	11681
15510	2332	11993
15528	768	4602
19070	2826	3333
74013	3677	564
212679	2882	704
75388	1258	1
227120	6555	3914
626009	1369	635
329159	1906	0
71066	1408	0
212712	5286	35
329160	3728	9
407809	3304	0
75323	2052	41
73467	3008	282
68736	1442	473
68115	1325	1002
67198	4045	2381
51960	2733	371
68549	5416	577
11761	4382	802
71724	4360	16
71872	4973	5
213043	4776	3
66882	2833	19951
12747	3088	15682
70225	1630	876
65102	2105	709
18393	3371	1823
100504455	2126	5
213056	8695	634
66495	532	1714
100504501	936	96
108812	1579	3
12633	7814	4640
12370	2777	1498
70827	6240	8898
227154	2318	499
73463	2131	0
381259	1972	1244
227157	3087	40
74018	7038	3829
271697	1477	39
14369	4809	12705
381260	3595	21
22218	1215	2243
55989	1976	30546
100217459	53	12
100217421	63	7
12168	3507	5035
100504533	314	359
72750	5532	2968
70375	3650	81
57750	3376	1133
241066	2604	235
100504573	431	61
269198	12108	3252
77951	1501	735
329165	5974	3412
77300	9117	3267
100043027	207	20
100042533	791	10
12487	4317	4
100504618	845	0
12477	1931	7
54167	3254	2
77341	892	0
72823	8392	1064
18187	8122	2459
74992	895	16
227195	13529	4932
100380944	1802	87
100504668	1301	16
227197	2927	5116
55949	1933	42750
100217464	113	112
241070	1606	4
73884	12621	597
23792	6879	199
241073	2427	0
76668	1711	2
75619	3205	1674
74426	1756	10
433315	1432	0
93691	1344	618
12912	8421	3905
67099	2666	488
69941	713	117
227210	2927	2083
14367	6914	4702
241075	8562	1541
70861	1353	0
667276	1020	61
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	20
15926	2438	2602
18711	11255	2002
213527	2414	4
12969	622	0
17756	5520	10065
100038569	1663	2
329178	13533	226
66646	2630	2030
68691	4760	5148
11363	1892	12417
100862127	515	12
17901	1111	10
14768	4461	4103
227231	4704	1
13869	4257	15
100502712	2069	0
22779	9424	1010
66722	2270	0
320460	4655	0
12021	5448	680
74591	8323	184
108147	2611	5869
14268	8312	7487
100042814	1193	1
667931	1019	0
71134	1093	0
433319	483	26
381269	2493	2101
111175	1186	691
271711	2815	42
22596	2556	3835
381270	4187	46
54380	6715	2083
319695	4573	1
19981	588	925
16008	1330	26083
16011	5854	261496
21958	427	1
69449	571	0
723792	1560	238
78718	551	9
109198	1801	26
21961	9966	9509
435626	2336	263
100862357	817	0
12765	3043	9
227288	1125	0
100316687	67	0
76709	1597	12435
227289	990	5
227290	1820	10794
56695	3501	1197
69660	2309	5858
241112	2101	18
18173	2304	27
227292	2776	3257
387219	85	0
22349	3117	35
319651	7196	5038
58184	3266	2917
18802	3121	215
77264	7472	4501
66821	1829	776
57751	1475	1500
269209	5235	341
67534	4253	1983
104086	1890	286
241113	2832	153
22420	2068	4942
22409	1962	6291
12570	2704	16
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	7
75570	860	198
22626	2059	68
69171	2738	1415
227298	2557	2717
68818	1299	698
74104	2934	1001
245860	3764	2246
52231	2764	501
74577	3451	589
20872	2885	2227
22145	2053	15675
381272	767	9
56812	3203	3411
19275	3535	114
19711	710	0
13437	1946	1870
13346	2150	233
100503248	676	0
11790	11933	2947
69080	1528	1608
100862164	449	0
241118	2650	69
74241	3235	5606
319998	2185	447
98733	5770	4433
16322	1463	200
71728	4458	1340
20536	4441	1886
100862333	771	0
620079	2188	0
13838	6328	6428
18505	3868	0
100039210	1208	0
433323	3998	20
23874	2132	3410
68393	1206	9
74205	3950	7297
195434	3981	2521
57814	2463	94
20254	2485	0
100862182	832	4
252903	2876	433
69368	4714	1721
100038695	1791	0
69163	1424	764
100862198	480	0
20720	2055	790
241128	2862	0
26554	2764	12160
72208	394	0
210293	7303	674
241134	4919	0
16367	9163	1850
100503073	3039	6
76867	3757	2592
100503095	2833	3
12829	7808	106
12828	8609	148
75734	1866	2757
66261	1503	2
100044526	654	99
15463	3137	5746
80721	2974	53
71386	992	0
20297	802	7
71227	1670	2
77629	6512	0
98496	2667	109
227325	3632	1
100628595	77	0
14897	9632	19025
66153	900	68
71781	2349	3
100503433	891	1
381287	1760	0
621875	1334	15
100040135	1348	0
665378	1621	0
620078	1971	8
100040213	891	1
100039794	1073	7
665338	891	0
109032	1971	128
434484	2417	552
100503502	852	0
100503045	659	1
20684	2158	182
319997	1936	18
12283	3800	8530
64294	2024	21699
71141	1148	0
227326	2550	8
70060	1602	8
72792	3331	385
70247	3256	11241
15559	2072	31
78795	5258	896
100861644	653	3
227327	2595	82
383538	483	2
17975	8257	100010
100303740	116	103
80828	68	2
319336	1266	59
14767	1218	0
71863	1721	0
19231	1192	18565
18582	1092	812
26895	2231	752
18159	1042	182
208718	3171	1014
11650	2113	2
76768	2337	1
11648	1680	2
13599	2698	100
69453	1999	14
11447	2910	0
11449	1921	0
26987	4928	4535
98363	1805	323
227331	5743	2817
100040591	1349	62
73234	462	14
53972	3384	112
319977	1676	2
620454	1602	134
23956	2018	8
16331	4938	55
77040	3180	1893
100217415	248	7
20215	1718	28
100503175	947	1
227333	5694	3875
227334	5316	1208
394430	3242	0
394434	3216	0
394432	3294	2
394435	2293	1153
94284	3302	2083
394433	3208	3
22236	3206	2
15504	1017	19
394436	3229	3
100040766	7526	21
381280	8439	765
78605	3662	0
171382	3844	1
75396	870	0
14659	1957	40
100503197	2622	28
320982	3967	9382
78650	476	4
73475	603	0
98402	3673	2662
77331	591	0
347722	9581	2556
74403	3611	1
14472	2126	0
208372	1404	0
74918	3210	1
12778	2579	6687
108679	1843	4578
433332	1207	0
12835	10841	1900
171531	4484	227
623503	261	0
19329	1950	62
16978	5743	6903
329207	3851	11
51801	3022	2110
67921	1363	1909
665783	892	954
50880	2207	731
227357	5442	22
100503326	684	0
70788	3020	9
227358	2815	155
67444	1368	2284
67086	547	1
55927	1335	435
18627	5837	5077
74019	3500	511
65247	6072	751
13345	1312	29
208727	3960	3135
67273	1220	4342
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	1594
260301	704	0
14733	3552	11165
100504295	543	1
387167	66	0
241158	3243	66
67446	1491	380
108657	3039	2607
100037260	1689	4
23830	2877	573
64095	4396	104
208760	1088	3
16560	8257	1927
11611	1517	15
71874	2362	1530
381284	7348	9
208777	4474	639
69821	3315	895
269224	5119	996
66385	3653	2207
404545	3217	16
110611	6238	60651
18000	3335	21382
227377	3912	666
59041	3254	5428
51800	1432	2254
67026	2160	1930
66615	2964	2745
21915	1310	2893
66262	4539	3630
98314	3058	184
381334	2846	4
100041596	1185	3
666009	570	12
619597	4059	2
241159	4511	0
18566	1930	2
74689	1565	0
67698	2107	658
20452	5677	47
75381	761	0
100504401	921	38
73454	356	0
75159	583	0
227394	2394	1
329217	3849	0
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	1007
227399	5565	4400
252876	2041	203
18484	4103	6608
78603	1178	11
69030	1687	3
70866	2328	0
100504494	800	449
241175	5120	0
100504525	886	0
23836	3722	17
320311	8529	214
100504568	1284	4
27392	6777	5010
227446	5406	2686
100042023	231	500
21934	5022	1502
635504	465	19
227449	6661	4772
626049	545	2
98432	6104	3220
12043	7749	1833
320761	1243	0
70750	5582	2046
20479	3272	5475
20724	2565	11531
71869	1735	7
241196	1607	1
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	1
66957	1699	16390
116872	1887	40
18788	2047	164
241197	3490	1905
20725	3289	227
241201	3353	0
227485	3054	32
319901	5763	3170
636808	3915	0
634762	729	0
22099	3040	3256
67949	1894	4258
76707	7899	6811
68204	597	37
81879	9270	839
14633	6708	237
16324	4255	577
100502628	748	0
64143	2277	2575
226351	2830	2303
226352	7746	761
19258	4707	1892
66343	3301	75
226356	2511	3
319229	1924	1
170706	1017	83
13167	745	4077
73103	1089	133
68428	3177	777
226359	2000	3
17167	1985	0
13798	2554	1
98452	1580	1
72999	2524	2038
70829	7256	1287
15564	2019	6
66942	2249	757
100502702	453	1
269109	4630	0
74117	2746	14556
74150	2597	3420
71111	2690	9
72585	2047	3
210356	7593	238
107895	3104	1257
667090	484	2954
72160	2517	2
266645	2303	4
100502745	464	13
72949	3514	2386
22625	3936	3
226407	4251	4059
226409	4154	1180
226412	4812	4982
387147	70	0
67812	4093	8094
226413	6166	24
17219	2901	6212
226414	2509	4796
12767	1814	490
210417	6253	10
100042740	613	814
13137	1324	6
